record_id,equipment_id,equipment_type,manufacturer,model_year,mine_type,country,operating_hours,event_date,event_type,failure_mode,component_failed,severity,downtime_hours,repair_cost_usd,production_loss_tonnes,maintenance_type,was_scheduled,days_since_last_service,oil_analysis_flag,vibration_flag,temperature_flag
EQP-ADB3590D,UNIT-1803,haul_truck,Caterpillar,2008,underground,drc,64584,2022-12-03,breakdown,electrical,alternator,major,17.4,70862.6,1711.0,corrective,False,27,False,False,False
EQP-596EE017,UNIT-7964,crusher,Sandvik,2019,open_pit,botswana,19253,2023-08-03,breakdown,hydraulics,cylinder,major,46.3,74513.34,10010.0,corrective,False,57,True,False,False
EQP-23341C24,UNIT-6890,pump,Metso,2011,open_pit,south_africa,52894,2020-05-28,breakdown,casing,general_component,major,10.7,17661.8,580.0,corrective,False,107,False,False,False
EQP-D8EF5309,UNIT-4949,loader,Volvo,2019,processing_plant,zambia,18369,2024-11-21,condition_based,tires,front_left,routine,2.5,2218.7,240.0,predictive,False,23,False,True,False
EQP-5A611650,UNIT-4896,excavator,Hitachi,2017,underground,ghana,27901,2022-12-30,condition_based,bucket,general_component,minor,7.7,36773.6,1468.0,predictive,False,57,False,False,False
EQP-772D4E59,UNIT-8726,haul_truck,Caterpillar,2011,open_pit,zambia,51965,2023-01-17,scheduled_maintenance,preventive,adjustment,minor,4.8,23730.11,650.0,preventive,True,88,False,False,False
EQP-FAF8FC8C,UNIT-1773,pump,Metso,2015,underground,zambia,36480,2024-05-07,breakdown,seal,general_component,major,8.5,13579.31,796.0,corrective,False,86,False,True,False
EQP-A33557AD,UNIT-7275,grader,John Deere,2008,underground,south_africa,62968,2022-06-02,breakdown,electrical,starter,major,13.4,17855.68,215.0,corrective,False,28,False,True,False
EQP-6774156A,UNIT-2813,conveyor,ThyssenKrupp,2019,processing_plant,tanzania,18033,2020-02-24,scheduled_maintenance,preventive,adjustment,routine,0.8,860.33,217.0,preventive,True,38,False,False,False
EQP-07368603,UNIT-1847,crusher,Sandvik,2012,underground,south_africa,48171,2020-08-27,breakdown,bearing,general_component,minor,19.1,22423.17,3067.0,corrective,False,32,False,False,False
EQP-43DEF3FE,UNIT-5737,drill_rig,Epiroc,2014,open_pit,tanzania,40526,2024-09-01,scheduled_maintenance,preventive,oil_change,routine,3.0,4046.22,134.0,preventive,True,25,False,False,False
EQP-FFD8470D,UNIT-9779,drill_rig,Caterpillar,2010,open_pit,south_africa,57007,2024-11-11,scheduled_maintenance,preventive,oil_change,routine,1.2,3488.05,46.0,preventive,True,150,False,False,False
EQP-30DDE4C5,UNIT-7621,haul_truck,Komatsu,2013,open_pit,zambia,43641,2020-05-30,condition_based,transmission,torque_converter,routine,1.8,2805.71,172.0,predictive,False,119,True,False,False
EQP-8AC6BC3C,UNIT-7849,haul_truck,Belaz,2014,underground,ghana,40775,2023-05-17,breakdown,transmission,clutch,minor,8.7,15772.63,677.0,corrective,False,31,True,False,False
EQP-9D554B23,UNIT-7456,haul_truck,Hitachi,2011,underground,zambia,52485,2023-04-04,scheduled_maintenance,preventive,filter_replace,routine,2.8,3355.99,417.0,preventive,True,113,False,False,False
EQP-2469FA20,UNIT-8073,loader,Volvo,2023,underground,ghana,5322,2020-10-24,scheduled_maintenance,preventive,oil_change,routine,2.3,4331.96,126.0,preventive,True,17,False,False,False
EQP-0DD3A635,UNIT-5618,haul_truck,Hitachi,2012,underground,zambia,47944,2023-11-18,inspection,preventive,inspection,routine,3.7,3482.33,379.0,preventive,True,16,False,False,False
EQP-50C0A798,UNIT-2152,haul_truck,Hitachi,2010,open_pit,south_africa,54270,2022-04-07,scheduled_maintenance,preventive,oil_change,routine,3.2,6111.62,403.0,preventive,True,54,False,True,True
EQP-B07114D9,UNIT-8556,conveyor,Metso,2016,open_pit,ghana,31932,2021-02-18,scheduled_maintenance,preventive,inspection,routine,1.4,1889.93,568.0,preventive,True,57,False,True,False
EQP-C78A86BB,UNIT-5053,haul_truck,Hitachi,2013,open_pit,tanzania,44088,2022-10-05,breakdown,tires,front_right,major,18.5,40917.2,1563.0,corrective,False,132,False,False,False
EQP-8FCBD06E,UNIT-5502,haul_truck,Caterpillar,2015,open_pit,drc,36518,2024-06-17,condition_based,engine,head_gasket,routine,3.5,3442.97,425.0,predictive,False,18,True,False,False
EQP-8727DECE,UNIT-4336,conveyor,FLSmidth,2019,underground,drc,18467,2021-01-25,scheduled_maintenance,preventive,filter_replace,routine,0.9,1598.92,301.0,preventive,True,2,False,True,False
EQP-2B8400B6,UNIT-2642,excavator,Hitachi,2009,processing_plant,zambia,59687,2023-01-18,condition_based,undercarriage,general_component,routine,5.8,9262.88,679.0,predictive,False,18,True,False,False
EQP-069B351A,UNIT-9339,conveyor,FLSmidth,2016,open_pit,drc,32868,2023-08-11,condition_based,gearbox,general_component,routine,0.9,722.97,364.0,predictive,False,13,False,True,False
